timestamp,alloc_mb,sys_mb,heap_inuse_mb,heap_idle_mb,num_gc,goroutines
2026-03-22T01:51:05+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:07+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:09+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:11+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:13+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:15+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:17+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:19+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:21+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:23+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:25+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:27+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:29+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:31+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:33+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:35+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:37+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:39+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:41+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:43+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:45+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:47+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:49+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:51+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:53+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:55+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:57+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:59+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:01+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:03+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:05+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:07+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:09+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:11+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:13+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:15+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:17+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:19+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:21+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:23+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:25+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:27+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:29+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:31+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:33+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:35+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:37+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:39+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:41+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:43+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:45+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:52:47+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:52:49+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:52:51+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:52:53+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:52:55+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:52:57+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:52:59+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:01+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:03+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:05+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:07+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:09+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:11+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:13+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:15+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:17+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:19+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:21+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:23+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:25+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:27+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:29+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:31+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:33+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:35+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:37+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:39+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:41+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:43+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:45+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:47+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:49+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:51+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:53+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:55+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:57+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:53:59+05:30,0.65,8.27,1.48,1.98,0,8
2026-03-22T01:57:46+05:30,0.33,12.02,1.13,6.46,0,8
2026-03-22T01:57:48+05:30,0.33,12.02,1.13,6.46,0,8
2026-03-22T01:57:50+05:30,0.33,12.02,1.13,6.46,0,8
2026-03-22T01:57:52+05:30,0.33,12.02,1.13,6.46,0,8
2026-03-22T01:57:54+05:30,0.35,12.02,1.15,6.45,0,8
2026-03-22T01:57:56+05:30,0.54,12.52,1.48,5.98,0,10
2026-03-22T01:57:58+05:30,0.62,12.52,1.56,5.94,0,10
2026-03-22T01:58:00+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:02+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:04+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:06+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:08+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:10+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:12+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:14+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:16+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:18+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:20+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:22+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:24+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:26+05:30,0.93,12.77,1.86,5.64,0,9
2026-03-22T01:58:28+05:30,0.93,12.77,1.86,5.64,0,9
